date,code,name,industry,market_regime,eligible,market_ok,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,rejection_reason,shares,stop,target,rr,reasons
2026-03-30,603876,鼎胜新材,制造业,NORMAL,1,1,80.000000,0.000000,80.000000,35.000000,20.000000,20.000000,5.000000,56.181332,60.000000,1,84,1,,100,21.756000,27.730714,2.920416,MA20>MA60|MA60>MA120|close>MA20|rs20=21.64|rs60=72.13|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-02,301312,智立方,制造业,NORMAL,1,1,75.000000,0.000000,75.000000,35.000000,20.000000,20.000000,0.000000,53.479692,60.000000,1,85,1,,100,97.666800,127.689286,4.320117,MA20>MA60|MA60>MA120|close>MA20|rs20=21.86|rs60=110.08|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-02,002840,华统股份,制造业,NORMAL,1,1,72.000000,0.000000,72.000000,25.000000,20.000000,15.000000,12.000000,53.479692,60.000000,1,101,1,,200,10.887800,13.290714,2.684321,MA20>MA60|close>MA20|rs20=24.60|rs60=23.17|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-08,300531,优博讯,制造业,NORMAL,1,1,87.000000,0.000000,87.000000,40.000000,20.000000,15.000000,12.000000,67.910273,60.000000,1,30,1,,700,19.511800,24.187143,2.520059,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=26.56|rs60=18.11|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-08,600602,云赛智联,信息传输、软件和信息技术服务业,NORMAL,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,63.255015,60.000000,1,36,1,,600,23.941400,29.217857,3.759568,MA20>MA60|MA60>MA120|close>MA20|rs20=8.79|rs60=35.76|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-08,603118,共进股份,制造业,NORMAL,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,67.910273,60.000000,1,39,1,,200,13.279000,15.935714,2.901196,MA20>MA60|MA60>MA120|close>MA20|rs20=12.49|rs60=21.70|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-13,603876,鼎胜新材,制造业,NORMAL,1,1,92.000000,0.412549,92.412549,40.000000,20.000000,20.000000,12.000000,76.875819,60.000000,1,5,1,,400,22.863400,28.655714,2.769565,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=17.35|rs60=51.81|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-14,603158,腾龙股份,制造业,NORMAL,1,1,87.000000,0.747896,87.747896,35.000000,20.000000,20.000000,12.000000,82.464932,60.000000,1,24,1,,1000,12.475400,15.707857,2.283016,MA20>MA60|MA60>MA120|close>MA20|rs20=7.82|rs60=28.67|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-14,002638,勤上股份,制造业,NORMAL,1,1,77.000000,0.747896,77.747896,35.000000,20.000000,10.000000,12.000000,82.464932,60.000000,1,104,1,,1100,4.439400,5.485714,2.866646,MA20>MA60|MA60>MA120|close>MA20|rs20=16.24|rs60=55.13|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-04-15,300201,海伦哲,制造业,NORMAL,1,1,82.000000,0.753002,82.753002,35.000000,20.000000,15.000000,12.000000,82.550039,60.000000,1,35,1,,300,11.417000,13.994286,2.209571,MA20>MA60|MA60>MA120|close>MA20|rs20=7.59|rs60=61.72|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
