run,trade_count,total_return_proxy,cagr_proxy,max_drawdown_proxy,sharpe_proxy,profit_factor,win_rate,cluster_expectancy
312,409,0.031526,0.397224,-0.376111,0.439227,1.436363,0.430318,0.031526
313,409,0.025948,0.326941,-0.355552,0.379626,1.349275,0.440098,0.025948
314,409,0.028640,0.360864,-0.355552,0.392777,1.381419,0.437653,0.028640
315,409,0.027726,0.349349,-0.420085,0.374939,1.365890,0.430318,0.027726
316,409,0.033013,0.415958,-0.355552,0.454397,1.455240,0.432763,0.033013
317,409,0.025833,0.325501,-0.420085,0.349371,1.335868,0.420538,0.025833
318,409,0.035809,0.451194,-0.355552,0.482554,1.490710,0.452323,0.035809
319,409,0.037265,0.469539,-0.386988,0.535690,1.547285,0.469438,0.037265
320,409,0.021808,0.274779,-0.420085,0.317049,1.293011,0.430318,0.021808
321,409,0.023940,0.301645,-0.420085,0.337351,1.317107,0.435208,0.023940
322,409,0.036460,0.459401,-0.355552,0.491173,1.497914,0.457213,0.036460
323,409,0.023408,0.294938,-0.420085,0.337161,1.311062,0.432763,0.023408
324,409,0.025934,0.326765,-0.355552,0.365195,1.354157,0.432763,0.025934
325,409,0.028194,0.355239,-0.355552,0.399512,1.378337,0.435208,0.028194
